,bodysite,count
0,,51440
1,69536005,30257
2,43799004,21529
3,12738006,14398
4,818981001,12068
5,80891009,11181
6,45048000,10452
7,76752008,8539
8,85562004,3714
9,421060004,3388
10,66019005,2674
11,816092008,2078
12,10200004,1826
13,122496007,1654
14,72696002,1608
15,56459004,1086
16,16982005,1044
17,41216001,918
18,122494005,839
19,70258002,773
20,64033007,676
21,16953009,626
22,24136001,579
23,15776009,230
24,74670003,205
25,39607008,168
26,122495006,161
27,51299004,160
28,53840002,152
29,38266002,141
30,818982008,138
31,1217257000,138
32,91609006,107
33,7569003,92
34,89546000,84
35,34402009,81
36,85050009,77
37,363654007,74
38,15825003,70
39,14975008,67
40,71341001,62
41,72410000,47
42,1217256009,41
43,69105007,35
44,68367000,22
45,54735007,19
46,45289007,10
47,38848004,9
48,1217253001,7
49,661005,6
50,78961009,5
